original_url,local_file,status
https://upload.wikimedia.org/wikipedia/commons/0/02/OSIRIS_Mars_true_color.jpg,OSIRIS_Mars_true_color.jpg,OK
https://upload.wikimedia.org/wikipedia/commons/0/04/International_Space_Station_after_undocking_of_STS-132.jpg,International_Space_Station_after_undocking_of_STS-132.jpg,OK
https://upload.wikimedia.org/wikipedia/commons/0/07/DART_Spacecraft.png,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/0/07/DART_Spacecraft.png
https://upload.wikimedia.org/wikipedia/commons/0/07/Ptolemaic_system_2_%28psf%29.png,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/0/07/Ptolemaic_system_2_%28psf%29.png
https://upload.wikimedia.org/wikipedia/commons/0/07/Titan_in_true_color.jpg,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/0/07/Titan_in_true_color.jpg
https://upload.wikimedia.org/wikipedia/commons/0/09/Milky_Way_Galaxy.jpg,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/0/09/Milky_Way_Galaxy.jpg
https://upload.wikimedia.org/wikipedia/commons/1/10/Pleiades_large.jpg,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/1/10/Pleiades_large.jpg
https://upload.wikimedia.org/wikipedia/commons/1/11/Orbital_mechanics.png,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/1/11/Orbital_mechanics.png
https://upload.wikimedia.org/wikipedia/commons/1/14/Allen_Telescope_Array.jpg,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/1/14/Allen_Telescope_Array.jpg
https://upload.wikimedia.org/wikipedia/commons/1/16/Apollo_11_Launch_-_GPN-2000-000630.jpg,Apollo_11_Launch_-_GPN-2000-000630.jpg,OK
https://upload.wikimedia.org/wikipedia/commons/1/18/Are_we_alone%3F.jpg,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/1/18/Are_we_alone%3F.jpg
https://upload.wikimedia.org/wikipedia/commons/1/1d/Calabi_yau_formatted.svg,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/1/1d/Calabi_yau_formatted.svg
https://upload.wikimedia.org/wikipedia/commons/1/1d/Starship_Flight_3_Liftoff.jpg,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/1/1d/Starship_Flight_3_Liftoff.jpg
https://upload.wikimedia.org/wikipedia/commons/1/1e/Apollo_11_first_step.jpg,Apollo_11_first_step.jpg,OK
https://upload.wikimedia.org/wikipedia/commons/2/22/Spacetime_curvature.png,Spacetime_curvature.png,OK
https://upload.wikimedia.org/wikipedia/commons/2/23/Babylonian_clay_tablet_with_cuneiform.jpg,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/2/23/Babylonian_clay_tablet_with_cuneiform.jpg
https://upload.wikimedia.org/wikipedia/commons/2/23/Comet_Hale-Bopp_1995O1.jpg,,FAILED: 404 Client Error: Not Found for url: https://upload.wikimedia.org/wikipedia/commons/2/23/Comet_Hale-Bopp_1995O1.jpg
